MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,PROTEAN,PROTEAN EGOV TECHNO LTD,       485.35,       485.35,       496.00,       485.35,       488.95,                 41691611.90,84841,N, ,3904,       939.80,       444.00
N,SM,PROV,PROVENTUS AGROCOM LIMITED,      1650.00,      1680.00,      1850.00,      1680.00,      1849.00,                  3940756.00,2160,N, ,26,      1940.00,       940.00
N,EQ,PROZONER,PROZONE REALTY LIMITED,        52.61,        52.87,        53.79,        52.01,        53.60,                 18730772.56,351530,N, ,1751,        72.77,        39.55
N,EQ,PRSMJOHNSN,PRISM JOHNSON LIMITED,       114.54,       113.40,       116.38,       113.11,       113.44,                 20137444.35,175995,N, ,3450,       176.00,        97.10
N,EQ,PRUDENT,PRUDENT CORP ADV SER LTD,      3326.10,      3326.10,      3349.40,      3296.60,      3320.20,                 26776021.70,8056,N, ,2588,      4105.50,      2121.00
N,EQ,PSB,PUNJAB & SIND BANK,        22.25,        22.23,        22.54,        21.80,        21.86,                 37612612.20,1706094,N, ,4643,        32.46,        20.50
N,EQ,PSPPROJECT,PSP PROJECTS LIMITED,       813.75,       804.40,       849.20,       804.40,       812.20,                 40634525.70,49623,N, ,2706,      1143.00,       569.20
N,SM,PSRAJ,P S RAJ STEELS LIMITED,       102.35,        98.00,        98.00,        96.00,        96.00,                   970125.00,10000,N, ,4,       439.95,        76.10
N,EQ,PTC,PTC INDIA LIMITED,       151.96,       152.49,       156.45,       151.71,       155.93,                242702748.95,1571624,N, ,24087,       229.51,       149.59
N,EQ,PTCIL,PTC INDUSTRIES LIMITED,     22500.00,     22360.00,     23055.00,     22300.00,     22670.00,                346773920.00,15271,N, ,5984,     24125.00,     14039.00
N,EQ,PTL,PTL ENTERPRISES LTD,        38.05,        38.05,        38.24,        37.91,        38.09,                   752972.72,19791,N, ,679,        43.77,        36.10
N,SM,PULZ,PULZ ELECTRONICS LIMITED,        23.25,        23.25,        23.25,        22.10,        22.10,                   357200.00,16000,N, ,7,        44.25,        21.35
N,EQ,PUNJABCHEM,PUNJAB CHEM & CROP PROT L,      1071.20,      1071.20,      1091.00,      1056.00,      1062.70,                  2439681.40,2280,N, ,405,      1533.90,       876.60
N,EQ,PURVA,PURAVANKARA LIMITED,       210.23,       211.05,       223.00,       208.13,       218.23,                314072818.44,1438254,N, ,28192,       287.30,       160.69
N,SM,PURVFLEXI,PURV FLEXIPACK LIMITED,        42.40,        43.90,        43.90,        43.90,        43.90,                    35120.00,800,N, ,1,       124.90,        37.00
N,SM,PUSHPA,PUSHPA JEWELLERS LIMITED,       105.50,       103.00,       107.95,       103.00,       104.00,                  5876650.00,56000,N, ,54,       148.75,        81.15
N,EQ,PVP,PVP VENTURES LIMITED,        58.51,        56.97,        60.50,        56.06,        57.05,                104337122.68,1803277,N, ,9720,        71.90,        23.00
N,EQ,PVRINOX,PVR INOX LIMITED,      1254.60,      1248.50,      1282.00,      1231.20,      1272.70,                538869163.30,425001,N, ,28150,      1284.50,       907.40
N,EQ,PVSL,POPULAR VEHICLES N SER L,        99.32,        97.20,       102.00,        97.20,        98.73,                  1092297.16,10987,N, ,458,       163.00,        82.41
N,EQ,PWL,PHYSICSWALLAH LIMITED,       127.53,       127.68,       129.99,       127.01,       127.80,                403828150.09,3147971,N, ,25587,       161.99,        77.72
N,EQ,PYRAMID,PYRAMID TECHNOPLAST LTD,       153.93,       156.39,       156.39,       151.11,       154.56,                  2591525.60,16854,N, ,438,       198.69,       131.80
N,SM,QFIL,QUALITY FOILS (INDIA) LTD,        63.00,        60.00,        60.00,        60.00,        60.00,                    60000.00,1000,N, ,1,        77.00,        38.00
N,EQ,QGOLDHALF,QUANTUM GOLD ETF,       125.15,       124.86,       125.24,       123.93,       124.65,                 20686160.04,165964,N, ,1074,       149.69,        90.62
N,SM,QLINE,Q-LINE BIOTECH LIMITED,       691.35,       691.35,       725.00,       691.35,       722.10,                 44977720.00,62800,N, ,141,       735.00,       431.00
N,EQ,QPOWER,QUALITY POWER ELEC EQUP L,      1422.90,      1435.00,      1494.00,      1425.00,      1489.80,               1076990476.60,728624,N, ,25778,      1570.00,       581.00
N,EQ,QUADFUTURE,QUADRANT FUTURE TEK LTD,       491.95,       490.00,       534.35,       484.00,       521.50,               1165520193.55,2251310,N, ,63484,       534.35,       248.55
N,SM,QUADPRO,QUADPRO ITES LIMITED,         3.00,         3.15,         3.15,         3.10,         3.10,                   263400.00,84000,N, ,7,         3.45,         1.85
N,EQ,QUESS,QUESS CORP LIMITED,       342.40,       340.00,       355.00,       336.15,       353.00,                111793436.50,319184,N, ,14867,       388.75,       166.30
N,SM,QUESTLAB,QUEST LABORATORIES LTD,        78.00,        75.55,        78.70,        73.55,        77.30,                  1743180.00,22800,N, ,19,       152.60,        73.55
N,EQ,QUICKHEAL,QUICK HEAL TECH LTD,       157.33,       158.39,       158.39,       150.10,       152.37,                 26817925.12,174302,N, ,3256,       371.40,       125.00
N,SM,QUICKTOUCH,QUICKTOUCH TECHNOLOGIES L,        17.05,        16.30,        16.30,        16.20,        16.20,                   105800.00,6500,N, ,4,        51.00,        14.70
N,EQ,QUINT,QUINT DIGITAL LTD.,        57.88,        63.66,        63.66,        63.66,        63.66,                 13782708.30,216505,N, ,154,        63.66,        33.45
